scope,finding_id,finding,rater_a,rater_b,n_items,percent_agreement,quadratic_weighted_kappa
finding_Pleural_Effusion,11,Pleural Effusion,rad_02,rad_04,300,74.66666666666667,0.39655172413793105
finding_Pleural_Effusion,11,Pleural Effusion,rad_02,rad_06,300,88.0,0.6351172047766476
finding_Pleural_Effusion,11,Pleural Effusion,rad_03,rad_04,300,77.66666666666666,0.6687480962534267
finding_Pleural_Effusion,11,Pleural Effusion,rad_03,rad_06,300,81.66666666666667,0.6179278701798185
finding_Pleural_Effusion,11,Pleural Effusion,rad_04,rad_06,300,78.66666666666666,0.5679839249832552
finding_Pleural_Other,12,Pleural Other,chief_rad_01,rad_01,300,68.33333333333333,0.08997605200136849
finding_Pleural_Other,12,Pleural Other,chief_rad_01,rad_02,300,90.33333333333333,0.05785562632696395
finding_Pleural_Other,12,Pleural Other,chief_rad_01,rad_03,300,80.66666666666666,0.16029650220060232
finding_Pleural_Other,12,Pleural Other,chief_rad_01,rad_04,300,79.33333333333333,0.177346726705923
finding_Pleural_Other,12,Pleural Other,chief_rad_01,rad_06,300,82.0,0.09877800407331994
finding_Pleural_Other,12,Pleural Other,rad_01,rad_02,300,69.66666666666667,0.15449566408032855
finding_Pleural_Other,12,Pleural Other,rad_01,rad_03,300,65.0,0.16483735781281184
finding_Pleural_Other,12,Pleural Other,rad_01,rad_04,300,67.0,0.21624066953178
finding_Pleural_Other,12,Pleural Other,rad_01,rad_06,300,69.0,0.2668539325842697
finding_Pleural_Other,12,Pleural Other,rad_02,rad_03,300,78.66666666666666,0.015717991759499506
finding_Pleural_Other,12,Pleural Other,rad_02,rad_04,300,79.66666666666666,0.1033160387999098
finding_Pleural_Other,12,Pleural Other,rad_02,rad_06,300,80.0,0.0625
finding_Pleural_Other,12,Pleural Other,rad_03,rad_04,300,74.33333333333333,0.2555072069621974
finding_Pleural_Other,12,Pleural Other,rad_03,rad_06,300,73.33333333333333,0.18413173652694603
finding_Pleural_Other,12,Pleural Other,rad_04,rad_06,300,72.33333333333334,0.22445255474452552
finding_Fracture,13,Fracture,chief_rad_01,rad_01,300,89.66666666666666,0.08190518584464723
finding_Fracture,13,Fracture,chief_rad_01,rad_02,300,92.33333333333333,0.3633107839235973
finding_Fracture,13,Fracture,chief_rad_01,rad_03,300,88.33333333333333,0.28195792880258896
finding_Fracture,13,Fracture,chief_rad_01,rad_04,300,92.0,0.04778698642214785
finding_Fracture,13,Fracture,chief_rad_01,rad_06,300,90.66666666666666,-0.018313861698768585
finding_Fracture,13,Fracture,rad_01,rad_02,300,95.66666666666667,0.2257742257742259
finding_Fracture,13,Fracture,rad_01,rad_03,300,89.33333333333333,0.19143356643356635
finding_Fracture,13,Fracture,rad_01,rad_04,300,96.0,-0.00396628656420428
finding_Fracture,13,Fracture,rad_01,rad_06,300,95.66666666666667,0.11317567567567566
finding_Fracture,13,Fracture,rad_02,rad_03,300,91.33333333333333,0.2846750727449079
finding_Fracture,13,Fracture,rad_02,rad_04,300,97.66666666666667,-0.0037641154328731385
finding_Fracture,13,Fracture,rad_02,rad_06,300,97.0,-0.011560693641618602
finding_Fracture,13,Fracture,rad_03,rad_04,300,91.0,0.024321266968325816
